annee;insee;commune;dep;distinction;mention;adresse01;adresse02;adresse03;adresse04_cpostal;adresse05_commune;url;geo_point;image_label;latitude;longitude
2021;92044;Garges-lès-Gonesse;95.0;2 pattes;;Hôtel de ville;8 place de l'Hôtel-de-Ville;BP 2;95141.0;Garges-lès-Gonesse Cedex;http://www.villedegarges.fr;48.971698761,2.39990997314;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.971698761;2.39990997314
2021;93030;Montreuil;93.0;3 pattes;félicitations;Hôtel de ville;1 place Jean-Jaurès;;93105.0;Montreuil Cedex;http://www.montreuil.fr;48.860395,2.441878;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux3Pattes.png;48.860395;2.441878
2021;94042;Montgeron;91.0;Encouragement du jury;;Hôtel de ville;112 bis avenue de la République;;91230.0;Montgeron;http://www.montgeron.fr;48.7040316,2.4602221;;48.7040316;2.4602221
2021;94046;Quincy-sous-Sénart;91.0;Encouragement du jury;;Hôtel de ville;5 rue Combs-la-Ville;;91480.0;Quincy-sous-Sénart;http://www.mairie-quincy-sous-senart.fr;48.6711006165,2.54044008255;;48.6711006165;2.54044008255
2021;95268;Maisons-Alfort;94.0;Encouragement du jury;;Hôtel de ville;118 avenue du Général-de-Gaulle;;94700.0;Maisons-Alfort;http://www.maisons-alfort.fr;48.8012008667,2.43154001236;;48.8012008667;2.43154001236
2021;78123;Clamart;92.0;1 patte;;Hôtel de ville;1 avenue Jean-Jaurès;;92140.0;Clamart;http://www.clamart.fr;48.8013433,2.2628095;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8013433;2.2628095
2021;92024;Sucy-en-Brie;94.0;2 pattes;;Hôtel de ville;2 avenue Georges-Pompidou;BP 1;94370.0;Sucy-en-Brie;http://www.ville-sucy.fr;48.7712020874,2.52347111702;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.7712020874;2.52347111702
2021;92040;Franconville;95.0;2 pattes;;Hôtel de ville;11 rue de la Station;BP 90043;95132.0;Franconville Cedex;http://www.ville-franconville.fr;48.986415863,2.23122406006;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.986415863;2.23122406006
2021;94044;Morangis;91.0;Encouragement du jury;;Hôtel de ville;12 avenue de la République;;91420.0;Morangis;http://www.morangis91.com;48.7046877,2.3322869;;48.7046877;2.3322869
2021;95252;Vanves;92.0;Encouragement du jury;;Hôtel de ville;33 rue Antoine Fratacci;CS 40001;92170.0;Vanves;http://www.vanves.fr;48.8205251,2.2905065;;48.8205251;2.2905065
2021;95607;Montmorency;95.0;Encouragement du jury;;Hôtel de ville;2 avenue Foch;BP 70101;95162.0;Montmorency Cedex;http://www.ville-montmorency.fr;48.9892997742,2.32059001923;;48.9892997742;2.32059001923
2021;91191;Saint-Prix;95.0;1 patte;;Hôtel de ville;45 rue d'Ermont;BP 30013;95390.0;Saint-Prix;http://www.saintprix.fr;49.0069007874,2.26186990738;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;49.0069007874;2.26186990738
2021;91386;Meaux;77.0;2 pattes;;Hôtel de ville;Place de l'Hôtel-de-Ville;BP 227;77107.0;Meaux Cedex;https://www.ville-meaux.fr/;48.9587474,2.877579;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.9587474;2.877579
2021;91477;Vernouillet;78.0;2 pattes;;Hôtel de ville;9 rue Paul-Doumer;;78540.0;Vernouillet;http://www.mairie-vernouillet.fr;48.9723764,1.982939;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.9723764;1.982939
2021;77079;Lieusaint;77.0;1 patte;;Hôtel de ville;50 rue de Paris;;77127.0;Lieusaint;https://www.ville-lieusaint.fr/;48.631288,2.551387;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.631288;2.551387
2021;91235;Bouleurs;77.0;2 pattes;;Hôtel de ville;24 rue de l'Église;;77580.0;Bouleurs;https://www.bouleurs.fr/;48.8631113,2.8531748;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.8631113;2.8531748
2021;92012;Suresnes;92.0;2 pattes;;Hôtel de ville;2 rue Carnot;;92151.0;Suresnes Cedex;http://www.suresnes.fr;48.8712005615,2.22490000725;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.8712005615;2.22490000725
2021;92062;Taverny;95.0;2 pattes;;Hôtel de ville;2 place Charles-de-Gaulle;BP 90002;95150.0;Taverny;http://www.ville-taverny.fr;49.0266189,2.2261067;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;49.0266189;2.2261067
2021;94011;Saint-Forget;78.0;Encouragement du jury;;Hôtel de ville;16 rue de la Mairie;;78720.0;Saint-Forget;http://www.saint-forget.fr;48.709400177,1.99395000935;;48.709400177;1.99395000935
2021;95254;Dugny;93.0;Encouragement du jury;;Hôtel de ville;1 rue de la Résistance;;93440.0;Dugny;http://www.ville-dugny.fr;48.9551010132,2.41741991043;;48.9551010132;2.41741991043
2021;95574;Frémécourt;95.0;Encouragement du jury;;Hôtel de ville;Rue du Four;;95830.0;Frémécourt;http://www.fremecourt.fr;49.1192016602,2.00253009796;;49.1192016602;2.00253009796
2021;77327;Palaiseau;91.0;1 patte;;Hôtel de ville;91 rue de Paris;CS 95315;91125.0;Palaiseau Cedex;http://www.ville-palaiseau.fr;48.7147407532,2.24559688568;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.7147407532;2.24559688568
2021;77477;Asnières-sur-Seine;92.0;1 patte;;Hôtel de ville;1 place de l'Hôtel-de-Ville;BP 217;92602.0;Asnières-sur-Seine Cedex;http://www.asnieres-sur-seine.fr;48.9103657,2.2894093;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.9103657;2.2894093
2021;92004;Puteaux;92.0;2 pattes;;Hôtel de ville;131 rue de la République;;92800.0;Puteaux;http://www.puteaux.fr;48.8844636,2.2380969;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.8844636;2.2380969
2021;92075;Boulogne-Billancourt;92.0;3 pattes;;Hôtel de ville;26 avenue André-Morizet;;92104.0;Boulogne-Billancourt Cedex;http://www.boulognebillancourt.com;48.8359758,2.240282;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux3Pattes.png;48.8359758;2.240282
2021;94077;Issy-les-Moulineaux;92.0;Encouragement du jury;;Hôtel de ville;47 rue du Général-Leclerc;;92130.0;Issy-les-Moulineaux;http://www.issy.com;48.824206,2.2735875;;48.824206;2.2735875
2021;77108;Montereau-Fault-Yonne;77.0;1 patte;;Hôtel de ville;54 rue Jean-Jaurès;;77130.0;Montereau-Fault-Yonne;https://www.ville-montereau77.fr/;48.3847375,2.9563587;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.3847375;2.9563587
2021;77251;Ury;77.0;1 patte;;Hôtel de ville;5 place du Général-de-Gaulle;;77760.0;Ury;https://www.ury.fr/;48.3428993225,2.60084009171;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.3428993225;2.60084009171
2021;77305;Crosne;91.0;1 patte;;Hôtel de ville;35 avenue Jean-Jaurès;;91560.0;Crosne;http://www.crosne.fr;48.7159287,2.4587017;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.7159287;2.4587017
2021;77378;Saint-Michel-sur-Orge;91.0;1 patte;;Hôtel de ville;16 rue de l'Église;;91240.0;Saint-Michel-sur-Orge;http://www.saintmichelsurorge.fr;48.6313018799,2.30283999443;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.6313018799;2.30283999443
2021;91064;Joinville-le-Pont;94.0;1 patte;;Hôtel de ville;23 rue de Paris;BP 83;94340.0;Joinville-le-Pont;http://www.ville-joinville-le-pont.fr;48.8181266785,2.46630311012;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.8181266785;2.46630311012
2021;92035;Villeneuve-le-Roi;94.0;2 pattes;;Hôtel de ville;Place de la Vieille-Église;;94290.0;Villeneuve-le-Roi;http://www.villeneuve-le-roi.fr;48.7350120544,2.40797591209;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux2Pattes.png;48.7350120544;2.40797591209
2021;93032;Champagne-sur-Seine;77.0;Encouragement du jury;;Hôtel de ville;149 rue Grande;;77430.0;Champagne-sur-Seine;https://www.champagne-sur-seine.fr/;48.3949012756,2.80452990532;;48.3949012756;2.80452990532
2021;93066;Carrières-sous-Poissy;78.0;Encouragement du jury;;Hôtel de ville;1 place Saint-Blaise;;78955.0;Carrières-sous-Poissy;http://www.carrieres-sous-poissy.fr;48.9508666992,2.03869199753;;48.9508666992;2.03869199753
2021;77152;Nangis;77.0;1 patte;;Hôtel de ville;Rue du Maréchal-de-Lattre-de-Tassigny;CS 50404;77370.0;Nangis;https://ville-nangis.fr/;48.5555000305,3.01358008385;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.5555000305;3.01358008385
2021;77268;Mantes la ville;78.0;1 patte;;Hôtel de ville;Place de la Mairie;;78711.0;Mantes-la-Ville;https://www.manteslaville.fr/;48.978154,1.713371;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.978154;1.713371
2021;77284;Vélizy-Villacoublay;78.0;1 patte;;Hôtel de ville;2 place de l'Hôtel-de-Ville;BP 50051;78140.0;Vélizy-Villacoublay Cedex;http://www.velizy-villacoublay.fr;48.7822990417,2.19105005264;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.7822990417;2.19105005264
2021;78172;Coubron;93.0;1 patte;;Hôtel de ville;133 rue Jean-Jaurès;;93470.0;Coubron;http://www.coubron.fr;48.9155006409,2.57700991631;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux1Patte.png;48.9155006409;2.57700991631
2021;92073;Mennecy;91.0;3 pattes;félicitations;Hôtel de ville;2 place de la Mairie;;91540.0;Mennecy;http://www.mennecy.fr;48.5668376,2.4348078;https://data.iledefrance.fr/assets/theme_image/20210201villeAnimaux3Pattes.png;48.5668376;2.4348078
2021;94067;Clichy;92.0;Encouragement du jury;;Hôtel de ville;80 boulevard Jean-Jaurès;BP 300;92110.0;Clichy;http://www.ville-clichy.fr;48.9023895264,2.3043410778;;48.9023895264;2.3043410778
